CITY,CBSA,Average_AQI
PAYSON,"Payson, AZ",55.24109589041096
PENSACOLA-FERRY PASS-BRENT,"Pensacola-Ferry Pass-Brent, FL",48.394520547945206
PEORIA,"Peoria, IL",45.637362637362635
PHILADELPHIA-CAMDEN-WILMINGTON,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",59.53150684931507
PHOENIX-MESA-SCOTTSDALE,"Phoenix-Mesa-Scottsdale, AZ",91.64657534246575
PIERRE,"Pierre, SD",17.786516853932586
PITTSBURGH,"Pittsburgh, PA",63.57808219178082
PITTSFIELD,"Pittsfield, MA",42.565934065934066
PLATTEVILLE,"Platteville, WI",40.81369863013698
POCATELLO,"Pocatello, ID",25.86027397260274
PONCA CITY,"Ponca City, OK",47.010958904109586
PONCE,"Ponce, PR",44.74643874643875
PORT ANGELES,"Port Angeles, WA",38.95068493150685
PORT ST. LUCIE,"Port St. Lucie, FL",42.23229461756374
PORTLAND-SOUTH PORTLAND,"Portland-South Portland, ME",48.43835616438356
PORTLAND-VANCOUVER-HILLSBORO,"Portland-Vancouver-Hillsboro, OR-WA",46.31232876712329
PORTSMOUTH,"Portsmouth, OH",19.106849315068494
PRESCOTT,"Prescott, AZ",44.095238095238095
PRICE,"Price, UT",47.12054794520548
PRINEVILLE,"Prineville, OR",35.679452054794524
PROVIDENCE-WARWICK,"Providence-Warwick, RI-MA",49.33424657534247
PROVO-OREM,"Provo-Orem, UT",50.583561643835615
PUEBLO,"Pueblo, CO",25.571428571428573
PULLMAN,"Pullman, WA",27.605479452054794
QUINCY,"Quincy, IL-MO",41.850622406639005
RACINE,"Racine, WI",41.78817733990148
RALEIGH,"Raleigh, NC",52.14520547945205
RAPID CITY,"Rapid City, SD",46.46849315068493
READING,"Reading, PA",48.06027397260274
RED BLUFF,"Red Bluff, CA",45.632876712328766
RED WING,"Red Wing, MN",37.157407407407405
REDDING,"Redding, CA",42.91208791208791
RENO,"Reno, NV",50.18630136986302
