City,State,Total_Rev_Prog_Desc
BELTON,TX,1969880.0
BELTSVILLE,MD,813219.0
BELVIDERE,IL,523920.0
BELVIDERE,NJ,624410.0
BEMIDJI,MN,8974959.0
BEMUS POINT,NY,1432190.0
BEN LOMOND,CA,624110.0
BEN WHEELER,TX,1713509.0
BENBROOK,TX,1524299.0
BEND,OR,14738491.0
BENEZETT,PA,900099.0
BENICIA,CA,1621709.0
BENLD,IL,812900.0
BENNETTSVILLE,SC,623000.0
BENNINGTON,NE,2873510.0
BENNINGTON,VT,1611209.0
BENSALEM,PA,2146119.0
BENSON,MN,1248300.0
BENTON,AR,3118960.0
BENTON,KY,2475320.0
BENTON,LA,711300.0
BENTON,PA,922160.0
BENTON,TN,621111.0
BENTON,WI,531120.0
BENTON CITY,WA,541940.0
BENTON HARBOR,MI,7062546.0
BENTONVILLE,AR,10386779.0
BEREA,KY,2587419.0
BEREA,OH,1338180.0
BERESFORD,SD,1247410.0
BERGEN,NY,611600.0
BERKELEY,CA,58727942.0
BERKELEY SPGS,WV,1522009.0
BERKLEY,MA,1425290.0
BERKLEY,MI,541900.0
BERLIN,CT,541940.0
BERLIN,MD,2146109.0
BERLIN,NH,1155990.0
BERLIN,NJ,1800198.0
BERLIN,WI,1475621.0
BERLIN CENTER,OH,1524522.0
BERNALILLO,NM,1248090.0
BERNARDSTON,MA,611600.0
BERNARDSVILLE,NJ,713990.0
BERNE,IN,1244610.0
BERNVILLE,PA,531120.0
BERRIEN CTR,MI,900099.0
BERRYVILLE,AR,110000.0
BERRYVILLE,VA,3324707.0
BERTHOUD,CO,1634209.0
BERTOND,NE,624210.0
BERWICK,PA,4701588.0
BERWYN,IL,2033729.0
BERWYN,PA,4185427.0
BESSEMER,AL,3922169.0
BETHANY,CT,1223010.0
BETHANY,MO,900099.0
BETHANY,OK,1613999.0
BETHEL,AK,1152711.0
BETHEL,CT,1163210.0
BETHEL,ME,2136219.0
BETHEL,MO,611600.0
BETHEL,PA,2335009.0
BETHEL,VT,1545030.0
BETHEL HTS,AR,493000.0
BETHEL PARK,PA,1800198.0
BETHESDA,MD,44979347.0
BETHLEHEM,CT,1153020.0
BETHLEHEM,NH,1511699.0
BETHLEHEM,PA,20916553.0
BETHPAGE,NY,2580420.0
BETTENDORF,IA,4120510.0
BETTERTON,MD,621910.0
BEULAH,CO,999999.0
BEULAH,ND,1335020.0
BEVERLY,KY,1232710.0
BEVERLY,MA,20395028.0
BEVERLY HILLS,CA,10626953.0
BEVERLY HILLS,FL,1253310.0
BEVERLY HILLS,MI,713940.0
BEXLEY,OH,623000.0
BICKLETON,WA,711210.0
BICKNELL,IN,713990.0
BIDDEFORD,ME,2237089.0
BIDWELL,OH,900099.0
BIG BAY,MI,532000.0
BIG BEAR LAKE,CA,721214.0
BIG CREEK,CA,900099.0
BIG HORN,WY,712110.0
BIG ISLAND,VA,624200.0
BIG PINE,CA,900099.0
BIG RAPIDS,MI,1236190.0
BIG RUN,PA,900004.0
BIG SKY,MT,1322730.0
BIG SPRING,TX,3609190.0
BIG STONE GAP,VA,1845220.0
BIG TIMBER,MT,1800103.0
BIGFORK,MT,711110.0
BIGLERVILLE,PA,2053399.0
BILLERICA,MA,999999.0
BILLINGS,MT,22383362.0
BILOXI,MS,1153380.0
BINGHAM,ME,621910.0
BINGHAM FARMS,MI,624100.0
BINGHAMTON,NY,33132429.0
BIRD CITY,KS,900099.0
BIRDSBORO,PA,4219098.0
BIRMIMGHAM,AL,621110.0
BIRMINGHAM,AL,76204448.0
BIRMINGHAM,MI,1322811.0
BIRNAMWOOD,WI,621910.0
BISBEE,AZ,4183120.0
BISHOP,CA,2860519.0
BISHOP HILL,IL,900099.0
BISHOPVILLE,MD,713940.0
BISHOPVILLE,SC,2042929.0
BISMARCK,AR,900099.0
BISMARCK,ND,28997766.0
BIXBY,OK,623000.0
BLACHLY,OR,611710.0
BLACK DIAMOND,WA,624410.0
BLACK HAWK,CO,611710.0
BLACK MOUNTAIN,NC,1524509.0
BLACK MTN,NC,3548438.0
BLACK RIVER,NY,621910.0
BLACK RIVER FALLS,WI,621400.0
BLACKDUCK,MN,621910.0
BLACKFOOT,ID,621110.0
BLACKLICK,OH,2314330.0
BLACKSBURG,SC,900099.0
BLACKSBURG,VA,10177319.0
BLACKSHEAR,GA,2759719.0
BLACKSTONE,MA,624410.0
BLACKSTONE,VA,2613510.0
BLACKSVILLE,WV,621110.0
BLACKVILLE,SC,531110.0
BLACKWOOD,NJ,1800198.0
BLADENSBURG,MD,611710.0
BLAIN,PA,624200.0
BLAINE,MN,5423808.0
BLAINE,WA,624110.0
BLAIR,NE,1074420.0
BLAIRSTOWN,NJ,900099.0
BLAIRSVILLE,GA,1422391.0
