City,State,Total_Rev_Prog_Desc,CBSA,CITY,Average_AQI
WALTERBORO,SC,624200.0,"WALTERBORO, SC",WALTERBORO,25.428571428571427
WARNER ROBINS,GA,5928161.0,"WARNER ROBINS, GA",WARNER ROBINS,48.01977401129943
WASHINGTON COURT HOUSE,OH,1593330.0,"WASHINGTON COURT HOUSE, OH",WASHINGTON COURT HOUSE,36.87042253521127
WATERTOWN,SD,5481618.0,"WATERTOWN, SD",WATERTOWN,33.74792243767313
WAUSAU,WI,11811188.0,"WAUSAU, WI",WAUSAU,35.28780487804878
WEATHERFORD,OK,3678549.0,"WEATHERFORD, OK",WEATHERFORD,15.622881355932204
WENATCHEE,WA,13463951.0,"WENATCHEE, WA",WENATCHEE,36.487671232876714
WICHITA,KS,62561656.0,"WICHITA, KS",WICHITA,44.36986301369863
WILLIAMSPORT,PA,11415046.0,"WILLIAMSPORT, PA",WILLIAMSPORT,37.875346260387815
WILLISTON,ND,4383802.0,"WILLISTON, ND",WILLISTON,35.30386740331492
WILMINGTON,NC,25357326.0,"WILMINGTON, NC",WILMINGTON,38.8277027027027
WINONA,MN,10015133.0,"WINONA, MN",WINONA,25.37391304347826
YAKIMA,WA,26855628.0,"YAKIMA, WA",YAKIMA,50.64109589041096
YUBA CITY,CA,4035809.0,"YUBA CITY, CA",YUBA CITY,49.76164383561644
YUMA,AZ,1758110.0,"YUMA, AZ",YUMA,49.79178082191781
