CITY,CBSA,Percent_Unhealthy_Days
NEW CASTLE,"New Castle, IN",0.0
NEW HAVEN-MILFORD,"New Haven-Milford, CT",3.8356164383561646
NEW ORLEANS-METAIRIE,"New Orleans-Metairie, LA",0.273972602739726
NEW YORK-NEWARK-JERSEY CITY,"New York-Newark-Jersey City, NY-NJ-PA",4.383561643835616
NILES-BENTON HARBOR,"Niles-Benton Harbor, MI",0.7692307692307693
NOGALES,"Nogales, AZ",0.5524861878453038
NORTH PORT-SARASOTA-BRADENTON,"North Port-Sarasota-Bradenton, FL",0.547945205479452
NORWICH-NEW LONDON,"Norwich-New London, CT",1.9230769230769231
OCALA,"Ocala, FL",0.0
ODESSA,"Odessa, TX",0.0
OGDEN-CLEARFIELD,"Ogden-Clearfield, UT",2.191780821917808
OKLAHOMA CITY,"Oklahoma City, OK",0.547945205479452
OLYMPIA-TUMWATER,"Olympia-Tumwater, WA",0.0
OMAHA-COUNCIL BLUFFS,"Omaha-Council Bluffs, NE-IA",0.0
ORLANDO-KISSIMMEE-SANFORD,"Orlando-Kissimmee-Sanford, FL",1.643835616438356
OTHELLO,"Othello, WA",0.0
OWENSBORO,"Owensboro, KY",0.27472527472527475
OXFORD,"Oxford, NC",0.0
OXNARD-THOUSAND OAKS-VENTURA,"Oxnard-Thousand Oaks-Ventura, CA",2.4657534246575343
PADUCAH,"Paducah, KY-IL",0.0
PAHRUMP,"Pahrump, NV",0.273972602739726
PALATKA,"Palatka, FL",0.0
PALM BAY-MELBOURNE-TITUSVILLE,"Palm Bay-Melbourne-Titusville, FL",0.0
PANAMA CITY,"Panama City, FL",0.0
PARKERSBURG-VIENNA,"Parkersburg-Vienna, WV",0.0
PAYSON,"Payson, AZ",4.383561643835616
PENSACOLA-FERRY PASS-BRENT,"Pensacola-Ferry Pass-Brent, FL",0.273972602739726
PEORIA,"Peoria, IL",0.5494505494505495
PHILADELPHIA-CAMDEN-WILMINGTON,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.383561643835616
PHOENIX-MESA-SCOTTSDALE,"Phoenix-Mesa-Scottsdale, AZ",14.794520547945206
PIERRE,"Pierre, SD",0.0
PITTSBURGH,"Pittsburgh, PA",3.287671232876712
PITTSFIELD,"Pittsfield, MA",0.0
PLATTEVILLE,"Platteville, WI",0.273972602739726
POCATELLO,"Pocatello, ID",0.0
PONCA CITY,"Ponca City, OK",0.273972602739726
PONCE,"Ponce, PR",1.7094017094017095
PORT ANGELES,"Port Angeles, WA",0.0
PORT ST. LUCIE,"Port St. Lucie, FL",0.0
PORTLAND-SOUTH PORTLAND,"Portland-South Portland, ME",0.273972602739726
PORTLAND-VANCOUVER-HILLSBORO,"Portland-Vancouver-Hillsboro, OR-WA",0.821917808219178
PORTSMOUTH,"Portsmouth, OH",0.0
PRESCOTT,"Prescott, AZ",0.0
PRICE,"Price, UT",0.273972602739726
PRINEVILLE,"Prineville, OR",0.273972602739726
PROVIDENCE-WARWICK,"Providence-Warwick, RI-MA",0.547945205479452
PROVO-OREM,"Provo-Orem, UT",0.273972602739726
PUEBLO,"Pueblo, CO",0.0
PULLMAN,"Pullman, WA",0.0
QUINCY,"Quincy, IL-MO",0.0
RACINE,"Racine, WI",0.49261083743842365
RALEIGH,"Raleigh, NC",0.0
RAPID CITY,"Rapid City, SD",1.095890410958904
