F9_08_REV_PROG_DESC
City: SAVANNAH, GA, X: 9775985.0, Y: 45.51044776119403, Distance from Trendline: 2.948984482844857
City: SALINAS, CA, X: 1800198.0, Y: 40.97260273972603, Distance from Trendline: 2.802044309996738
City: MEDFORD, OR, X: 7909994.0, Y: 44.61917808219178, Distance from Trendline: 2.6073507636509845
City: SOMERSET, KY, X: 561499.0, Y: 37.70514820592824, Distance from Trendline: 2.557929577631448
City: ROANOKE RAPIDS, NC, X: 900099.0, Y: 38.71895424836601, Distance from Trendline: 2.347146042993721
City: HOT SPRINGS, AR, X: 7112993.0, Y: 44.04132231404959, Distance from Trendline: 2.305099246944984
City: HATTIESBURG, MS, X: 9556001.0, Y: 44.76815642458101, Distance from Trendline: 2.2657552299335038
City: GRANTS PASS, OR, X: 1645700.0, Y: 40.12054794520548, Distance from Trendline: 2.1828453373520915
City: SHERIDAN, WY, X: 1431219.0, Y: 39.69041095890411, Distance from Trendline: 2.1150790332261806
City: PLATTEVILLE, WI, X: 2411418.0, Y: 40.81369863013698, Distance from Trendline: 1.8845601791450903
City: HAMMOND, LA, X: 1972309.0, Y: 40.162393162393165, Distance from Trendline: 1.7548853638719137
City: BENNINGTON, VT, X: 900099.0, Y: 38.035616438356165, Distance from Trendline: 1.6638082329838753
City: CHEYENNE, WY, X: 8842251.0, Y: 43.92602739726028, Distance from Trendline: 1.6250742065526183
City: DOUGLAS, GA, X: 621990.0, Y: 36.97520661157025, Distance from Trendline: 1.562478181660822
City: EFFINGHAM, IL, X: 2431218.0, Y: 40.43265306122449, Distance from Trendline: 1.4822938382028141
City: REDDING, CA, X: 6534547.0, Y: 42.91208791208791, Distance from Trendline: 1.3959770419719888
City: ROCKY MOUNT, NC, X: 1431209.0, Y: 38.79338842975206, Distance from Trendline: 1.2180746358701384
City: CADILLAC, MI, X: 1800198.0, Y: 39.33424657534247, Distance from Trendline: 1.163688145613179
